year,veh_per_1k_pop
1970,545.4
1972,585.6
1973,615.2
1974,632.3
1975,640.1
1976,659.5
1977,669
1978,690.2
1979,700.4
1980,710.7
1981,715.2
1982,714
1983,724.3
1984,728.2
1985,744.5
1986,753.3
1987,758.6
1988,772.9
1989,777
1990,773.4
1991,760.2
1992,758
1993,761.9
1994,766.9
1996,781.2
1997,776
1998,781.2
1999,790.1
2000,800.3
2001,825.8
2002,815.7
2003,816.1
2004,829.9
2005,837.3
2006,840.7
2007,844.5
2008,841.6
2009,828.7
2010,808.4
2011,812.5
2012,807.8
2013,809.1
2014,817.1
2015,821.1
2016,831.2
2017,836.6
2018,836.3
