stock type,climate zone,item,unit,iron/steel,copper,aluminum,all other metals,total metals,concrete (cement + aggregate),bricks,glass,aggregate (except for concrete),all other minerals,total non-metallic minerals,timber,other biomass-based materials,total biomass-based materials,bitumen,all other petrochemical-based materials,total petrochemical-based materials,insulation,all other materials,overall total material intensity,scenario,
RES-LR,BCZ_I,total,kg/m3, 2.8 , 0.1 , 0.8 ,0.0, 3.7 , 109.5 ,0.0, 2.7 , 21.7 , 14.6 , 148.5 , 11.5 , 9.1 , 20.6 ,0.0, 9.8 , 9.8 , 1.0 , 13.2 , 196.9 ,mean,
RES-LR,BCZ_II,total,kg/m3, 2.0 , 0.1 , 0.8 ,0.0, 2.8 , 107.7 ,0.0, 2.0 , 38.8 , 13.4 , 161.8 , 16.3 , 9.1 , 25.4 , 0.2 , 5.3 , 5.5 , 1.3 , 5.9 , 202.7 ,mean,
RES-LR,BCZ_III,total,kg/m3, 5.3 , 0.0 , 0.7 , 0.0 , 6.1 , 158.0 ,0.0, 2.6 , 33.2 , 56.9 , 250.7 , 16.4 , 13.0 , 29.4 , 1.1 , 6.2 , 7.2 , 1.7 , 9.0 , 304.1 ,mean,
RES-LR,BCZ_IV,total,kg/m3, 5.5 , 0.0 , 0.9 ,0.0, 6.5 , 147.8 ,0.0, 2.7 , 20.3 , 14.4 , 185.3 , 9.5 , 6.1 , 15.6 ,0.0, 7.1 , 7.1 , 1.3 , 13.2 , 228.8 ,mean,
RES-LR,BCZ_V,total,kg/m3, 2.4 , 0.1 , 1.1 ,0.0, 3.6 , 142.4 , 46.7 , 1.8 , 69.6 , 38.5 , 299.0 , 19.4 , 8.8 , 28.2 , 0.2 , 4.3 , 4.4 , 1.4 , 7.1 , 343.7 ,mean,
RES-MR,All zones,total,kg/m3,0.0, 0.0 , 1.2 , 0.3 , 13.3 , 155.6 , 66.9 , 1.1 , 17.7 , 36.0 , 277.3 , 15.4 , 4.5 , 19.9 , 0.0 , 0.6 , 0.6 , 0.5 , 3.1 , 314.7 ,mean,
RCMU,All zones,total,kg/m3,0.0, 0.0 , 1.2 , 0.3 , 13.3 , 155.6 , 66.9 , 1.1 , 17.7 , 36.0 , 277.3 , 15.4 , 4.5 , 19.9 , 0.0 , 0.6 , 0.6 , 0.5 , 3.1 , 314.7 ,mean,
RCMU-HR,All zones,total,kg/m3, 17.5 ,0.0, 0.6 ,0.0, 18.0 , 229.2 ,0.0, 0.6 , 5.3 , 20.8 , 255.9 , 3.0 , 0.4 , 3.4 , 0.8 , 0.1 , 0.9 , 0.2 , 0.1 , 278.5 ,mean,
RCMU-SKY,All zones,total,kg/m3, 31.7 ,0.0, 2.0 ,0.0, 33.7 , 294.1 ,0.0, 9.2 ,0.0, 9.3 , 312.5 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.2 , 346.5 ,mean,
C/I,All zones,total,kg/m3, 17.4 , 0.0 , 0.1 ,0.0, 17.6 , 169.9 ,0.0, 5.8 , 75.0 , 8.5 , 259.2 , 0.2 ,0.0, 0.2 , 0.9 , 0.0 , 0.9 , 0.5 , 2.5 , 280.8 ,mean,
MLB,All zones,total,kg/m3, 13.9 ,0.0,0.0,0.0, 13.9 , 93.7 ,0.0, 1.5 ,0.0, 19.6 , 114.8 , 14.8 ,0.0, 14.8 ,0.0, 2.7 , 2.7 , 0.9 , 4.2 , 151.3 ,mean,
RES-LR,BCZ_I,total,kg/m3, 2.2 , 0.1 , 0.8 ,0.0, 3.1 , 71.3 ,0.0, 2.6 , 21.7 , 12.4 , 108.0 , 8.9 , 9.0 , 18.0 ,0.0, 9.7 , 9.7 , 0.5 , 11.5 , 150.7 ,low,
RES-LR,BCZ_II,total,kg/m3, 1.3 , 0.1 , 0.5 ,0.0, 1.9 , 73.4 ,0.0, 1.1 , 37.6 , 12.8 , 124.9 , 10.8 , 9.0 , 19.8 , 0.2 , 0.9 , 1.1 , 0.6 , 0.2 , 148.6 ,low,
RES-LR,BCZ_III,total,kg/m3, 2.9 , 0.0 , 0.7 , 0.0 , 3.6 , 149.1 ,0.0, 2.1 , 27.4 , 39.0 , 217.7 , 8.2 , 9.2 , 17.4 , 0.9 , 2.8 , 3.7 , 0.7 , 5.0 , 248.1 ,low,
RES-LR,BCZ_IV,total,kg/m3, 2.9 , 0.0 , 0.8 ,0.0, 3.7 , 86.4 ,0.0, 2.6 , 20.3 , 12.4 , 121.6 , 7.1 , 4.5 , 11.6 ,0.0, 5.6 , 5.6 , 0.7 , 11.5 , 154.8 ,low,
RES-LR,BCZ_V,total,kg/m3, 1.5 , 0.1 , 0.8 ,0.0, 2.4 , 102.6 , 22.7 , 1.1 , 36.5 , 25.2 , 188.1 , 12.5 , 8.6 , 21.1 , 0.1 , 1.1 , 1.2 , 0.7 , 1.2 , 214.8 ,low,
RES-MR,All zones,total,kg/m3, 3.0 , 0.0 , 0.9 , 0.3 , 4.3 , 42.9 , 66.9 , 0.7 , 11.7 , 29.1 , 151.2 , 6.8 , 4.5 , 11.3 , 0.0 , 0.2 , 0.2 , 0.4 , 1.3 , 168.7 ,low,
RCMU,All zones,total,kg/m3, 3.0 , 0.0 , 0.9 , 0.3 , 4.3 , 42.9 , 66.9 , 0.7 , 11.7 , 29.1 , 151.2 , 6.8 , 4.5 , 11.3 , 0.0 , 0.2 , 0.2 , 0.4 , 1.3 , 168.7 ,low,
RCMU-HR,All zones,total,kg/m3, 13.5 ,0.0, 0.6 ,0.0, 14.1 , 208.2 ,0.0, 0.6 , 5.3 , 11.0 , 225.0 , 0.6 , 0.4 , 0.9 , 0.8 , 0.1 , 0.9 , 0.2 , 0.1 , 241.2 ,low,
